Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
LPP,Q93052,NP_001362391,0,"Burcu Aykac-Fas (LBT-IBPC, Paris, France)",,,,AFDB,AlphaFold database,False,,
RAD54L,Q92698,NP_003570,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HIPK3,Q9H422,NP_005725,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TCIRG1,Q13488,NP_006010,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CCDC6,Q16204,NP_005427,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KLHDC8B,Q8IXV7,NP_775817,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CYB5R3,P00387,NP_000389,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cyb5r3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP1LC3B,Q9GZQ8,NP_073729,3,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/map1lc3b/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ETS1,P14921,NP_005229,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NFATC3,Q12968,NP_775188,0,"Anna Melidi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
P2RY8,Q86VZ1,NP_835230,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
B3GNT3,Q9Y2A9,NP_055071,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PALB2,Q86YC2,NP_078951,0,"Laura Bauer (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RPL22,P35268,NP_000974,0,"Burcu Aykac Fas (IBPC, France)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PTPN13,Q12923,NP_542414,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCL2L10,Q9HD36,NP_065129,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bcl-proteins/bcl2l10/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SMAD3,P84022,NP_005893,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
COQ8A,Q8NI60,NP_064632,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/coq8a/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FANCB,Q8NB91,NP_689846,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",True,Mod-AFDB,
CEP57,Q86XR8,NP_055494,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PSG9,Q00887,NP_002775,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SMPD1,P17405,NP_000534,4,"Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/smpd1,5.5,atomic_contacts,PDB,Experimental PDB structure,False,5I85,
PTPN6,P29350,NP_002822,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NRBF2,Q96F24,NP_110386,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PPM1D,O15297,NP_003611,0,"Xavier Chapatte (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GNB2,P62879,NP_005264,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TMEM127,O75204,NP_001180233,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CTR9,Q6PD62,NP_055448,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TENT5C,Q5VWP2,NP_060179,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PPIA,P62937,NP_066953,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ppia/,5.5,atomic_contacts,PDB,Experimental PDB structure,False,3K0N,
MGMT,P16455,NP_002403,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RRAS,P10301,NP_006261,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CBX8,Q9HC52,NP_065700,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
LRRTM1,Q86UE6,NP_849161,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GNB1,P62873,NP_002065,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TNFRSF14,Q92956,NM_003820,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FKBP1A,P62942,NP_000792,3,"Kristine Degn (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fkbp1a/,,,AFDB,AlphaFold database,False,,
CTC1,Q2NKJ3,NP_079375,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CTNNA2,P26232,NP_001269526,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",True,AFDB-Mod,
CALCOCO2,Q13137,NP_005822,2,"Laura Mattioli (DCRC, Denmark), Mattia Utichi (DCRC, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/calcoco2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATR,Q13535,NP_001175,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CPTP,Q5TA50,NP_001025056,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PPP2R1A,P30153,NP_055040,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
VASH1,Q7L8A9,NP_055724,0,"Matteo Tiberti (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FLT3,P36888,NP_004110,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,Mod,"Homology model (PDB template, reconstruction)",True,Mod_P36888.pdb,
BRAF,P15056,NP_004324,2,"Ludovica Beltrame (DTU, Denmark), Matteo Tiberti (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/braf/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TUBB8B,A6NNZ2,NP_001408673,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NEK5,Q6P3R8,NP_954983,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TRAP1,Q12931,NP_057376,3,"Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/trap1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SH2B3,Q9UQQ2,NP_005466,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
BRD3,Q15059,NP_031397,2,"Kristine Degn (DTU, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/brd3,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KLK7,P49862,NP_005037,2,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/klk7,,,AFDB,AlphaFold database,False,,
IGF2BP2,Q9Y6M1,NP_006539,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
INPP4B,O15327,NP_001095139,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BCL2,P10415,NP_000624,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bcl-proteins/bcl2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GJB2,P29033,NP_003995,0,"Xavier Chapatte (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CYB5A,P00167,NP_683725,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cyb5a/,,,AFDB,AlphaFold database,False,,
GMPPB,Q9Y5P6,NP_068806,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MSI2,Q96DH6,NP_620412,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RFPL3,O75679,NP_001092005,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RAD51C,O43502,NP_478123,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/rad51c/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NFKB2,Q00653,NP_001070962,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FLI1,Q01543,NP_002008,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
KEAP1,Q14145,NP_036421,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/keap1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ERCC1,P07992,NP_001356345,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RNF39,Q9H2S5,NP_079512,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MSN,P26038,NP_002435,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
EPCAM,P16422,NP_002345,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GRIN2A,Q12879,NP_000824,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/grin2a/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
EIF1AX,P47813,NP_001403,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ACVR2A,P27037,NP_001265508,2,"Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/acvr-proteins/acvr2a,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FANCC,Q00597,NP_000127,0,"Jeppe Samuelsen (DCI, Denmark, DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SIRPA,P78324,NP_001035111,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DLG4,P78352,NP_001308004,3,"Kristine Degn (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dlg4/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MUS81,Q96NY9,NP_079404,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
WIF1,Q9Y5W5,NP_009122,0,"Laura Bauer (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PXK,Q7Z7A4,NP_060241,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MZF1,P28698,NP_932172,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/mzf1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NRG1,Q02297,NP_039258,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DICER1,Q9UPY3,NP_085124,0,"Matteo Tiberti (DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",True,AFDB-Mod,
NR3C2,P08235,NP_000892,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TINF2,Q9BSI4,NP_001092744,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Matteo Lambrughi (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KRAS-APO,P01116,NP_203524,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Ludovica Beltrame (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/kras,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PKN3,Q6P5Z2,NP_037487,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIP5K1C,O60331,NP_036530,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
POLQ,O75417,NP_955452,0,"Natalia Feced Garcia (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MED12,Q93074,NP_005111,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DNAJC21,Q5F1R6,NP_001012339,0,"Vinit Nilesh Vasa (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ESR2,Q92731,NP_001428,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ARID5B,Q14865,NP_115575,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FBXO11,Q86XK2,NP_00117720,0,"Joachim Breitenstein (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ERN2,Q76MJ5,NP_150296,2,"Matteo Tiberti (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ern2/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCL6,P41182,NP_001697,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
COL2A1,P02458,NP_001835,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FAM3B,P58499,NP_478066,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RANBP2,P49792,NP_006258,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ADCK1,Q86TW2,,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/adck-proteins/adck1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZMYM3,Q14202,NP_963893,0,"Subhayan Akhuli (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MC1R,Q01726,NP_002377,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
A2ML1,A8K2U0,NP_653271,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BCOR,Q6W2J9,NP_001116857,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DHRS4L2,Q6PKH6,NP_932349,0,"Angeliki Vliora (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IFNA16,P05015,NP_002164,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ELF1,P32519,NP_758961,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GPR42,O15529,,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TTR,P02766,NP_000362,0,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PAX5,Q02548,NP_057953,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
